ticker,date,score_100,score_equal,score_risk2x,score_risk4x,score_risk_only,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
012330.KS,2025-02-18,22.3,33.0,38.4,46.0,77.6,8.870967741935477,0.6048387096774244,20.56451612903225
012330.KS,2025-03-19,68.6,73.0,73.5,74.3,77.4,-11.296296296296294,10.925925925925917,17.037037037037027
012330.KS,2025-04-16,14.0,25.9,30.8,37.7,66.4,4.175365344467652,27.55741127348643,28.601252609603332
012330.KS,2025-05-19,25.4,35.7,40.3,46.8,73.5,20.04008016032064,19.839679358717444,19.43887775551103
012330.KS,2025-06-18,74.8,78.3,76.4,73.7,62.6,2.003338898163598,5.509181969949917,26.043405676126884
012330.KS,2025-07-16,54.5,60.8,62.3,64.5,73.4,-2.127659574468088,0.8183306055646433,47.299509001636665
028260.KS,2022-09-01,29.7,39.4,43.8,50.0,75.8,-8.54700854700855,4.2735042735042805,-4.786324786324792
028260.KS,2022-10-04,21.5,32.4,37.2,44.0,72.1,11.21495327102804,10.280373831775693,1.0280373831775602
028260.KS,2022-11-02,51.5,58.2,59.9,62.3,72.0,2.521008403361336,-0.3361344537815114,-11.008403361344543
028260.KS,2022-11-30,47.8,55.0,58.5,63.3,83.5,-3.278688524590168,-8.688524590163937,-9.75409836065574
028260.KS,2022-12-28,31.9,41.3,46.0,52.7,80.2,0.5084745762711895,-8.38983050847457,-9.830508474576272
028260.KS,2023-01-30,22.5,33.2,38.1,45.1,73.9,-6.070826306914001,-10.708263069139967,-13.406408094435074
028260.KS,2023-02-27,22.6,33.3,37.3,42.9,66.2,-2.9622980251346465,-1.1669658886894083,-7.001795332136441
028260.KS,2023-03-28,18.0,29.3,35.9,45.2,83.5,-2.0351526364477346,-1.5726179463459775,0.7400555041628065
028260.KS,2023-04-25,19.8,30.9,36.8,45.1,79.5,3.966005665722383,-3.021718602455148,-1.227573182247399
028260.KS,2023-05-25,41.6,49.7,53.8,59.6,83.5,-3.3605812897366083,-5.903723887375112,7.811080835604001
028260.KS,2023-06-26,20.1,31.1,37.3,46.0,82.0,-3.477443609022557,2.3496240601503797,20.58270676691729
028260.KS,2023-07-24,19.3,30.4,36.4,44.8,79.5,0.8763388510223846,1.850048685491723,14.60564751703992
