ticker,date,score_100,score_nonlinear,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
055550.KS,2022-09-01,23.4,95.6,-1.1461318051575908,9.169054441260748,10.17191977077363
055550.KS,2022-10-04,25.0,95.9,4.347826086956519,4.057971014492745,4.202898550724643
055550.KS,2022-11-02,39.6,94.6,5.833333333333335,24.30555555555556,-0.9722222222222188
055550.KS,2022-11-30,56.7,89.1,-5.774278215223094,0.9186351706036656,-8.13648293963255
055550.KS,2022-12-28,26.8,94.7,24.651810584958223,0.139275766016711,-3.4818941504178302
055550.KS,2023-01-30,58.0,72.1,-14.07821229050279,-20.335195530726256,-25.58659217877095
055550.KS,2023-02-27,27.8,93.5,-6.501950585175553,-8.972691807542265,-9.102730819245776
055550.KS,2023-03-28,20.6,95.3,-0.8344923504867818,-3.616133518776077,3.894297635605004
055550.KS,2023-04-25,25.2,97.0,-1.8232819074333828,-6.591865357643756,-1.8232819074333828
055550.KS,2023-05-25,24.2,97.2,-1.0000000000000009,-0.1428571428571445,5.5714285714285605
055550.KS,2023-06-26,22.0,97.7,-3.8961038961038974,7.792207792207795,10.966810966810955
055550.KS,2023-07-24,17.5,96.0,4.954954954954949,5.105105105105112,10.510510510510509
055550.KS,2023-08-22,36.7,93.0,6.866952789699576,5.722460658082973,23.74821173104436
055550.KS,2023-09-19,61.0,81.1,-6.291834002677376,2.9451137884872747,30.655957161981263
055550.KS,2023-10-24,18.7,95.3,5.5714285714285605,5.142857142857138,19.714285714285708
055550.KS,2023-11-21,44.7,93.4,4.059539918809207,17.050067658998657,32.34100135317996
055550.KS,2023-12-19,56.6,84.5,-4.29128738621587,26.918075422626785,20.546163849154752
055550.KS,2024-01-19,25.6,96.4,17.52717391304348,13.858695652173903,46.19565217391304
055550.KS,2024-02-20,56.2,70.0,12.832369942196545,13.0635838150289,27.16763005780347
055550.KS,2024-03-20,58.8,73.3,-14.139344262295085,-5.020491803278693,10.45081967213115
055550.KS,2024-04-18,11.9,94.1,16.706443914081138,28.400954653937948,34.84486873508352
055550.KS,2024-05-21,50.1,84.9,-5.214723926380371,12.474437627811865,9.81595092024541
055550.KS,2024-06-19,20.3,96.4,16.07335490830637,16.28910463861921,6.796116504854366
055550.KS,2024-07-17,76.0,67.1,2.230483271375472,5.018587360594795,-6.505576208178443
055550.KS,2024-08-14,41.8,85.4,-2.0000000000000018,-2.363636363636368,-11.909090909090914
055550.KS,2024-09-12,34.9,94.7,4.823747680890533,-8.163265306122447,-12.337662337662335
055550.KS,2024-10-18,27.6,95.1,-4.9557522123893865,-10.973451327433626,-15.39823008849558
055550.KS,2024-11-15,16.7,94.4,-7.821229050279332,-9.77653631284916,-2.9795158286778367
055550.KS,2024-12-13,11.1,92.9,1.6161616161616266,-4.545454545454541,19.595959595959588
055550.KS,2025-01-15,36.8,93.3,-3.677932405566597,-4.970178926441349,37.972166998011936
055550.KS,2025-02-18,25.7,97.0,-2.476780185758509,7.533539731682137,43.240454076367385
055550.KS,2025-03-19,20.5,95.6,1.1640211640211673,25.2910052910053,43.49206349206349
055550.KS,2025-04-16,35.6,94.8,8.995815899581583,45.18828451882846,52.92887029288702
055550.KS,2025-05-19,60.0,78.7,13.62763915547025,33.20537428023032,52.783109404990405
055550.KS,2025-06-18,60.7,71.0,17.229729729729737,14.527027027027016,31.25
055550.KS,2025-07-16,59.4,68.6,0.0,5.331412103746391,15.129682997118168
012330.KS,2022-09-01,18.6,95.4,-6.6037735849056585,0.4716981132075526,0.9433962264151052
012330.KS,2022-10-04,19.4,94.6,10.606060606060597,4.545454545454541,7.828282828282829
012330.KS,2022-11-02,44.5,91.6,-2.73972602739726,-5.707762557077622,8.447488584474883
012330.KS,2022-11-30,38.1,94.4,-2.8169014084507005,0.4694835680751241,6.572769953051649
012330.KS,2022-12-28,26.5,95.9,-0.2415458937198078,3.14009661835748,6.763285024154597
