ticker,date,score_100,sub_추세,sub_거래량,sub_모멘텀,sub_패턴점수,sub_리스크,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
030200.KS,2023-06-26,16.1,34.5,10.0,39.6,13.2,-16.6,-1.6447368421052655,6.085526315789469,17.269736842105267
030200.KS,2023-07-24,22.7,27.4,30.3,42.9,26.5,-13.8,8.528428093645491,8.695652173913038,12.87625418060201
030200.KS,2023-08-22,50.6,156.9,16.2,70.6,29.4,-20.2,-0.6163328197226536,2.4653312788905923,27.73497688751927
030200.KS,2023-09-19,40.8,88.4,45.0,52.6,36.8,-18.9,0.7751937984496138,10.542635658914733,15.658914728682172
030200.KS,2023-10-24,36.7,102.8,19.0,56.0,18.3,-12.4,2.3076923076922995,3.8461538461538547,3.5384615384615348
030200.KS,2023-11-21,35.3,71.8,25.5,50.4,36.9,-7.9,7.218045112781946,24.66165413533834,10.676691729323306
030200.KS,2023-12-19,62.7,170.0,41.6,70.5,40.0,-8.7,-5.329593267882194,4.628330995792429,2.103786816269282
030200.KS,2024-01-19,17.9,35.2,14.4,41.5,15.8,-17.5,22.81481481481482,-0.2962962962962945,8.148148148148149
030200.KS,2024-02-20,67.8,185.0,39.8,100.0,33.8,-19.6,-10.012062726176119,-11.2183353437877,-7.599517490952956
030200.KS,2024-03-20,23.6,85.3,17.9,28.0,7.7,-21.0,-9.78552278820375,-2.4128686327077764,11.126005361930291
030200.KS,2024-04-18,12.6,18.0,29.0,25.0,10.4,-19.4,9.361069836552737,8.469539375928669,27.48885586924219
030200.KS,2024-05-21,32.5,60.2,30.0,66.2,25.3,-19.0,-1.0869565217391353,4.0760869565217295,12.771739130434788
